"","pathway","pval","padj","log2err","ES","NES"
"1","SINGH_KRAS_DEPENDENCY_SIGNATURE",1.16394705388275e-05,0.00066344982071317,0.593325476396405,0.769089630268321,2.44551722516567
"2","SIRNA_EIF4GI_UP",0.000141688685882814,0.00403812754766019,0.518848077743792,0.406054913155799,1.73127717641808
"3","CAHOY_ASTROGLIAL",0.000368007114377168,0.0057897185936715,0.49849310876659,0.38689991664436,1.64075141230885
"4","TBK1.DN.48HRS_DN",0.000406296041661158,0.0057897185936715,0.49849310876659,0.486540220890522,1.94075374278516
"5","CORDENONSI_YAP_CONSERVED_SIGNATURE",0.000968406383822392,0.0110398327755753,0.477270815362862,0.446053262969537,1.81995880023098
"6","HINATA_NFKB_IMMU_INF",0.0425005826163442,0.40375553485527,0.321775918075361,0.528061782852613,1.52393645596845
"7","SIRNA_EIF4GI_DN",0.0607381794069258,0.494582318027825,0.321775918075361,0.281607829701879,1.21104382906462
"8","KRAS.50_UP.V1_UP",0.0824641032683501,0.587556735786995,0.287805130535564,0.344860111278811,1.3465804289223
"9","BCAT_BILD_ET_AL_UP",0.148318611163517,0.939351204035607,0.249246554383295,0.325906791966094,1.21473873576585
"10","ATM_DN.V1_DN",0.9679037111334,1,0.00881182919930239,-0.265513349856592,-0.706253049763834
"11","BCAT.100_UP.V1_DN",0.573170731707317,1,0.206587922696891,0.267596765914937,0.958085511724374
"12","BCAT.100_UP.V1_UP",0.934100418410042,1,0.0158662282151999,-0.264744147328154,-0.660647016980223
"13","BCAT_BILD_ET_AL_DN",0.246693202801854,1,0.249246554383295,0.285160818872557,1.11316238440005
"14","BCAT_GDS748_DN",0.981072555205047,1,0.0123167455730572,-0.233159315218595,-0.578974434655982
"15","BCAT_GDS748_UP",0.980104712041885,1,0.0120226641890431,-0.229456258815146,-0.571374469629233
"16","BRCA1_DN.V1_DN",0.982897384305835,1,0.00715048391330487,-0.246977085282357,-0.655109285901666
"17","BRCA1_DN.V1_UP",0.992957746478873,1,0.0054335217582325,-0.225950543761677,-0.598619663907857
"18","CAHOY_ASTROCYTIC",0.911290322580645,1,0.014944717875289,-0.288559597195129,-0.758234551508018
"19","CAHOY_NEURONAL",0.803643724696356,1,0.0232958000490367,-0.324292698835926,-0.848407877882169
"20","CAHOY_OLIGODENDROCUTIC",0.632019940454312,1,NA,0.17869165095067,0.757789200907509
"21","CSR_EARLY_UP.V1_DN",1,1,0.00382852089890286,-0.15889087977206,-0.42145971017821
