"","pathway","pval","padj","log2err","ES","NES"
"1","SINGH_KRAS_DEPENDENCY_SIGNATURE",9.83376990297092e-06,0.000521189804857459,0.593325476396405,0.769089630268321,2.40801189146619
"2","SIRNA_EIF4GI_UP",0.000230046920682085,0.00609624339807526,0.518848077743792,0.406054913155799,1.75906641042459
"3","CORDENONSI_YAP_CONSERVED_SIGNATURE",0.000738758006060334,0.00995253398242489,0.477270815362862,0.446053262969537,1.75182932775354
"4","TBK1.DN.48HRS_DN",0.000751134640183011,0.00995253398242489,0.477270815362862,0.486540220890522,1.84710225705499
"5","HINATA_NFKB_IMMU_INF",0.06939041675647,0.735538417618582,0.287805130535564,0.528061782852613,1.49166548160154
"6","ATM_DN.V1_DN",0.958876629889669,1,0.00989821417740655,-0.265513349856592,-0.711926256530865
"7","BCAT.100_UP.V1_DN",0.520547945205479,1,0.231126709673834,0.267596765914937,0.965731600749881
"8","BCAT.100_UP.V1_UP",0.929769392033543,1,0.016356070983033,-0.264744147328154,-0.662447801994482
"9","BCAT_BILD_ET_AL_DN",0.332498450310129,1,0.203508959461977,0.285160818872557,1.06056709054634
"10","BCAT_BILD_ET_AL_UP",0.199031507350842,1,0.249246554383295,0.325906791966094,1.17110783807403
"11","BCAT_GDS748_DN",0.974683544303797,1,0.0131702144400005,-0.233159315218595,-0.578823791539602
"12","BCAT_GDS748_UP",0.976842105263158,1,0.0127958872528513,-0.229456258815146,-0.569729623099499
"13","BRCA1_DN.V1_DN",0.971915747241725,1,0.00829069833204511,-0.246977085282357,-0.660699946877226
"14","BRCA1_DN.V1_UP",0.990954773869347,1,0.00562708211299112,-0.225950543761677,-0.602333313876593
"15","CAHOY_ASTROCYTIC",0.907444668008048,1,0.0151147394041638,-0.288559597195129,-0.763299312663776
"16","CAHOY_NEURONAL",0.790909090909091,1,0.0240742072753014,-0.324292698835926,-0.853192456915962
"17","CSR_EARLY_UP.V1_DN",1,1,0.00288973010331959,-0.15889087977206,-0.425056420536576
"18","CTIP_DN.V1_DN",0.873620862587763,1,0.0176259777744384,-0.306403605392191,-0.819674608979088
"19","CTIP_DN.V1_UP",0.993975903614458,1,0.00480899561354898,-0.209553297347429,-0.559290237054525
"20","CYCLIN_D1_KE_.V1_DN",0.973026973026973,1,0.00759591053352814,-0.262962949849053,-0.711560734406745
"21","DCA_UP.V1_UP",0.994005994005994,1,0.00354273909070668,-0.22494155093661,-0.608037252048739
"22","ESC_V6.5_UP_EARLY.V1_UP",0.996,1,0.00323243877654383,-0.207473887817756,-0.558136663936816
"23","GCNP_SHH_UP_EARLY.V1_DN",1,1,0,-0.154589827130166,-0.416343693448182
"24","GLI1_UP.V1_DN",0.547445255474453,1,0.160801401070022,0.319985482700218,0.949426865590026
"25","GLI1_UP.V1_UP",0.677966101694915,1,0.155241966228839,0.280305239800308,0.891133422981967
"26","IL21_UP.V1_DN",0.985014985014985,1,0.00562708211299112,-0.246077537597811,-0.664248426017676
"27","IL2_UP.V1_DN",0.967032967032967,1,0.00842359386195179,-0.271536614206819,-0.734665798818829
"28","JAK2_DN.V1_DN",0.695390781563126,1,0.0303467275556782,-0.345101821738059,-0.926140230539757
"29","JAK2_DN.V1_UP",0.99000999000999,1,0.00458288223817775,-0.234383628793583,-0.63309064633221
"30","JNK_DN.V1_DN",1,1,0,-0.191446650247626,-0.517572490609157
"31","KRAS.50_UP.V1_DN",0.453822709882203,1,0.203508959461977,0.281765029062229,1.04382805484104
"32","KRAS.50_UP.V1_UP",0.126127705825701,1,0.249246554383295,0.344860111278811,1.27757039383664
"33","KRAS.600.LUNG.BREAST_UP.V1_DN",0.75024975024975,1,0.0263245268606861,-0.340463578532219,-0.926726548183608
"34","KRAS.600_UP.V1_DN",0.891108891108891,1,0.0159484509317776,-0.312899213588924,-0.851739351152491
"35","KRAS.AMP.LUNG_UP.V1_DN",0.937813440320963,1,0.0121212734616549,-0.277556704096033,-0.744039364386948
"36","KRAS.AMP.LUNG_UP.V1_UP",0.391566265060241,1,0.0571258510018113,-0.391491004785135,-1.04859831876002
"37","KRAS.BREAST_UP.V1_DN",0.987963891675025,1,0.00581457622839549,-0.225769801248343,-0.605215499894623
"38","KRAS.KIDNEY_UP.V1_UP",0.807422266800401,1,0.0225128737259091,-0.325161338535377,-0.871545139934872
"39","KRAS.LUNG.BREAST_UP.V1_DN",0.648296593186373,1,0.0337507376805299,-0.353251963197735,-0.948366702170352
"40","KRAS.LUNG_UP.V1_DN",0.415245737211635,1,0.0543434390269162,-0.388252231227993,-1.0406506096936
"41","KRAS.PROSTATE_UP.V1_UP",0.9839518555667,1,0.00651414071836222,-0.230766941117782,-0.616984755385775
"42","MTOR_UP.N4.V1_DN",0.997002997002997,1,0.00250132493941571,-0.219883634425803,-0.594824822966342
"43","MTOR_UP.V1_DN",1,1,0,-0.143754034161352,-0.38898911873517
"44","NOTCH_DN.V1_DN",1,1,0,-0.210152839720561,-0.567974709023807
"45","NOTCH_DN.V1_UP",0.955044955044955,1,0.00989821417740655,-0.274683171762678,-0.742548078330485
"46","PGF_UP.V1_DN",0.999000999000999,1,0.0014426950408889,-0.207678211732301,-0.562052646197097
"47","PRC1_BMI_UP.V1_DN",0.976023976023976,1,0.00715048391330487,-0.254129555162696,-0.686935053759984
"48","PTEN_DN.V1_DN",0.989010989010989,1,0.00480899561354898,-0.238378250606717,-0.644451207237052
"49","RELA_DN.V1_UP",1,1,0.00204130030921835,-0.172499883877883,-0.463255336610465
"50","SRC_UP.V1_UP",0.98,1,0.00667841440698826,-0.246038376415869,-0.662187497618989
"51","TBK1.DN.48HRS_UP",0.526211690906246,1,0.143902565267782,0.260056411479099,0.988666945998728
"52","YAP1_DN",0.369198312236287,1,0.062249042949858,-0.434431575512318,-1.07441393974111
"53","YAP1_UP",0.854545454545454,1,0.206587922696891,0.228488191702507,0.840571351377251
"54","AKT_UP.V1_DN",NA,NA,NA,0.212236536042982,NA
"55","AKT_UP.V1_UP",NA,NA,NA,0.376193569677857,NA
"56","AKT_UP_MTOR_DN.V1_DN",NA,NA,NA,0.301359914473164,NA
"57","AKT_UP_MTOR_DN.V1_UP",NA,NA,NA,0.33198154214188,NA
"58","ALK_DN.V1_DN",NA,NA,NA,0.200917654384797,NA
"59","ALK_DN.V1_UP",NA,NA,NA,0.268101709767602,NA
"60","ATF2_S_UP.V1_DN",NA,NA,NA,0.306987050846751,NA
"61","ATF2_S_UP.V1_UP",NA,NA,NA,0.341566250035477,NA
"62","ATF2_UP.V1_DN",NA,NA,NA,0.290061576680205,NA
"63","ATF2_UP.V1_UP",NA,NA,NA,0.361524690630547,NA
"64","ATM_DN.V1_UP",NA,NA,NA,0.284833264150426,NA
"65","BMI1_DN.V1_DN",NA,NA,NA,0.226765765217151,NA
"66","BMI1_DN.V1_UP",NA,NA,NA,0.510628922119133,NA
"67","BMI1_DN_MEL18_DN.V1_DN",NA,NA,NA,0.153744619838992,NA
"68","BMI1_DN_MEL18_DN.V1_UP",NA,NA,NA,0.514728303542752,NA
"69","CAHOY_ASTROGLIAL",NA,NA,NA,0.38689991664436,NA
"70","CAHOY_OLIGODENDROCUTIC",NA,NA,NA,0.17869165095067,NA
"71","CAMP_UP.V1_DN",NA,NA,NA,0.218770938032679,NA
"72","CAMP_UP.V1_UP",NA,NA,NA,0.359140890149694,NA
"73","CRX_DN.V1_DN",NA,NA,NA,0.250924496350527,NA
"74","CRX_DN.V1_UP",NA,NA,NA,0.238668683213181,NA
"75","CRX_NRL_DN.V1_DN",NA,NA,NA,0.244574371055468,NA
"76","CRX_NRL_DN.V1_UP",NA,NA,NA,0.244566742950474,NA
"77","CSR_EARLY_UP.V1_UP",NA,NA,NA,0.50762108590023,NA
"78","CSR_LATE_UP.V1_DN",NA,NA,NA,0.289416794097843,NA
"79","CSR_LATE_UP.V1_UP",NA,NA,NA,0.547985275388389,NA
"80","CYCLIN_D1_KE_.V1_UP",NA,NA,NA,0.28946691196558,NA
"81","CYCLIN_D1_UP.V1_DN",NA,NA,NA,0.183217615690576,NA
"82","CYCLIN_D1_UP.V1_UP",NA,NA,NA,0.293139241138817,NA
"83","DCA_UP.V1_DN",NA,NA,NA,0.139625615917857,NA
"84","E2F1_UP.V1_DN",NA,NA,NA,0.235345233780531,NA
"85","E2F1_UP.V1_UP",NA,NA,NA,0.371243543237693,NA
"86","E2F3_UP.V1_DN",NA,NA,NA,0.330165120656654,NA
"87","E2F3_UP.V1_UP",NA,NA,NA,0.221771888940308,NA
"88","EGFR_UP.V1_DN",NA,NA,NA,0.14600469184165,NA
"89","EGFR_UP.V1_UP",NA,NA,NA,0.416723412868358,NA
"90","EIF4E_DN",NA,NA,NA,0.151266415238446,NA
"91","EIF4E_UP",NA,NA,NA,0.353549785042347,NA
"92","ERBB2_UP.V1_DN",NA,NA,NA,0.220491699415456,NA
"93","ERBB2_UP.V1_UP",NA,NA,NA,0.420296122771313,NA
"94","ESC_J1_UP_EARLY.V1_DN",NA,NA,NA,0.3440774942779,NA
"95","ESC_J1_UP_EARLY.V1_UP",NA,NA,NA,0.178936319466348,NA
"96","ESC_J1_UP_LATE.V1_DN",NA,NA,NA,0.168773537987979,NA
"97","ESC_J1_UP_LATE.V1_UP",NA,NA,NA,0.301970966435568,NA
"98","ESC_V6.5_UP_EARLY.V1_DN",NA,NA,NA,0.378860238625324,NA
"99","ESC_V6.5_UP_LATE.V1_DN",NA,NA,NA,0.336942286014197,NA
"100","ESC_V6.5_UP_LATE.V1_UP",NA,NA,NA,0.342037692328586,NA
"101","GCNP_SHH_UP_EARLY.V1_UP",NA,NA,NA,0.263234044159908,NA
"102","GCNP_SHH_UP_LATE.V1_DN",NA,NA,NA,0.406033805485352,NA
"103","GCNP_SHH_UP_LATE.V1_UP",NA,NA,NA,0.249219489571023,NA
"104","HOXA9_DN.V1_DN",NA,NA,NA,0.385501202200376,NA
"105","HOXA9_DN.V1_UP",NA,NA,NA,0.210718555928996,NA
"106","IL15_UP.V1_DN",NA,NA,NA,0.191801015459917,NA
"107","IL15_UP.V1_UP",NA,NA,NA,0.259683074618608,NA
"108","IL21_UP.V1_UP",NA,NA,NA,0.237288466776469,NA
"109","IL2_UP.V1_UP",NA,NA,NA,0.313970530973003,NA
"110","JNK_DN.V1_UP",NA,NA,NA,0.345916916723073,NA
"111","KRAS.300_UP.V1_DN",NA,NA,NA,0.207101953741691,NA
"112","KRAS.300_UP.V1_UP",NA,NA,NA,0.361932749648374,NA
"113","KRAS.600.LUNG.BREAST_UP.V1_UP",NA,NA,NA,0.30963845367104,NA
"114","KRAS.600_UP.V1_UP",NA,NA,NA,0.244253738387212,NA
"115","KRAS.BREAST_UP.V1_UP",NA,NA,NA,0.251621302318371,NA
"116","KRAS.DF.V1_DN",NA,NA,NA,0.19837219731078,NA
"117","KRAS.DF.V1_UP",NA,NA,NA,0.568207971477479,NA
"118","KRAS.KIDNEY_UP.V1_DN",NA,NA,NA,0.311993914592503,NA
"119","KRAS.LUNG.BREAST_UP.V1_UP",NA,NA,NA,0.377580440956236,NA
"120","KRAS.LUNG_UP.V1_UP",NA,NA,NA,0.311322456429411,NA
"121","KRAS.PROSTATE_UP.V1_DN",NA,NA,NA,0.214985188122999,NA
"122","LEF1_UP.V1_DN",NA,NA,NA,0.383210393509287,NA
"123","LEF1_UP.V1_UP",NA,NA,NA,0.410611050902537,NA
"124","LTE2_UP.V1_DN",NA,NA,NA,0.323700368893978,NA
"125","LTE2_UP.V1_UP",NA,NA,NA,0.219429389348637,NA
"126","MEK_UP.V1_DN",NA,NA,NA,0.186301867463922,NA
"127","MEK_UP.V1_UP",NA,NA,NA,0.421203285138228,NA
"128","MEL18_DN.V1_DN",NA,NA,NA,0.147836917687267,NA
"129","MEL18_DN.V1_UP",NA,NA,NA,0.541844940077629,NA
