"","pathway","pval","padj","log2err","ES","NES"
"1","SINGH_KRAS_DEPENDENCY_SIGNATURE",2.03207331657465e-05,0.00105667812461882,0.575610261071129,0.769089630268321,2.44069294715982
"2","CORDENONSI_YAP_CONSERVED_SIGNATURE",0.000536521067766444,0.00929969850795169,0.477270815362862,0.446053262969536,1.72043898405515
"3","TBK1.DN.48HRS_DN",0.000460203889384516,0.00929969850795169,0.49849310876659,0.486540220887273,1.91386680961762
"4","HINATA_NFKB_IMMU_INF",0.0570152624408048,0.741198411730462,0.321775918075361,0.528061782852614,1.51089490079241
"5","ATM_DN.V1_DN",0.968,1,0.00842359386195179,-0.265513349799152,-0.709025846008463
"6","BCAT.100_UP.V1_DN",0.5125,1,0.222056046145248,0.267596765914251,0.978290345741239
"7","BCAT.100_UP.V1_UP",0.940686784599376,1,0.014944717875289,-0.264744147326652,-0.663504407520006
"8","BCAT_BILD_ET_AL_DN",0.461290721692811,1,0.203508959461977,0.285160818875909,1.10522672930893
"9","BCAT_BILD_ET_AL_UP",0.174987818417657,1,0.249246554383295,0.325906791966094,1.25589206502706
"10","BCAT_GDS748_DN",0.97071129707113,1,0.0127958872528513,-0.233159315218491,-0.581413004094179
"11","BCAT_GDS748_UP",0.981210855949896,1,0.011622042518008,-0.229456258815146,-0.57349760021699
"12","BRCA1_DN.V1_DN",0.987975951903808,1,0.00562708211299112,-0.246977085282742,-0.657744693491852
"13","BRCA1_DN.V1_UP",0.995991983967936,1,0.00382852089890286,-0.225950543763125,-0.599530716009591
"14","CAHOY_ASTROCYTIC",0.907537688442211,1,0.0150298748621405,-0.28855959719513,-0.761673179812507
"15","CAHOY_NEURONAL",0.800804828973843,1,0.0231538258045259,-0.324292698835843,-0.853653644629946
"16","CSR_EARLY_UP.V1_DN",1,1,0.00250132493941571,-0.158890879772061,-0.423155180144268
"17","CTIP_DN.V1_DN",0.877755511022044,1,0.0172342687658066,-0.306403605392192,-0.816008275758724
"18","CTIP_DN.V1_UP",0.998997995991984,1,0.00288973010331959,-0.209553297348433,-0.556737315334661
"19","CYCLIN_D1_KE_.V1_DN",0.982017982017982,1,0.00617356336775808,-0.262962949849053,-0.709092519592885
"20","DCA_UP.V1_UP",1,1,0,-0.22494155093661,-0.605387953216105
"21","ESC_V6.5_UP_EARLY.V1_UP",1,1,0,-0.207473887816618,-0.556983235993503
"22","GCNP_SHH_UP_EARLY.V1_DN",1,1,0,-0.154589827130392,-0.414881796050612
"23","GLI1_UP.V1_DN",0.537931034482759,1,0.157402899305283,0.319985482700218,0.952629225159356
"24","GLI1_UP.V1_UP",0.563492063492063,1,0.165656695205483,0.280305239800307,0.960016220394497
"25","IL21_UP.V1_DN",0.995004995004995,1,0.00323243877654383,-0.246077537597521,-0.662079422669612
"26","IL2_UP.V1_DN",0.976023976023976,1,0.00715048391330487,-0.271536614206928,-0.73264163157788
"27","JAK2_DN.V1_DN",0.706293706293706,1,0.0294227657846801,-0.345101821737814,-0.923014092505447
"28","JAK2_DN.V1_UP",0.996003996003996,1,0.00288973010331959,-0.234383628792483,-0.630836695896302
"29","JNK_DN.V1_DN",1,1,0,-0.191446650247626,-0.515782357962201
"30","KRAS.50_UP.V1_DN",0.382404481597118,1,0.203508959461977,0.281765029062228,1.09894526473429
"31","KRAS.50_UP.V1_UP",0.109227228293985,1,0.287805130535564,0.34486011127881,1.34502989085239
"32","KRAS.600.LUNG.BREAST_UP.V1_DN",0.744255744255744,1,0.0267456741432593,-0.340463578532259,-0.929474073884337
"33","KRAS.600_UP.V1_DN",0.898101898101898,1,0.0153676328786693,-0.312899213589364,-0.854589216912257
"34","KRAS.AMP.LUNG_UP.V1_DN",0.947,1,0.0108943796561199,-0.277556704096033,-0.740788726287066
"35","KRAS.AMP.LUNG_UP.V1_UP",0.39,1,0.0571258510018113,-0.391491004782899,-1.04463072014392
"36","KRAS.BREAST_UP.V1_DN",0.995,1,0.00354273909070668,-0.225769801247536,-0.602571370217666
"37","KRAS.KIDNEY_UP.V1_UP",0.82,1,0.0214353576364558,-0.325161338535377,-0.86765617453334
"38","KRAS.LUNG.BREAST_UP.V1_DN",0.648351648351648,1,0.0336033244336697,-0.353251963197735,-0.945023133402991
"39","KRAS.LUNG_UP.V1_DN",0.402,1,0.0557104226766671,-0.388252231227992,-1.03600707027063
"40","KRAS.PROSTATE_UP.V1_UP",0.995995995995996,1,0.00354273909070668,-0.230766941117783,-0.615027553734561
"41","MTOR_UP.N4.V1_DN",1,1,0,-0.219883634426164,-0.592568408345054
"42","MTOR_UP.V1_DN",1,1,0,-0.143754034161388,-0.387639819007406
"43","NOTCH_DN.V1_DN",1,1,0,-0.210152839720561,-0.56564267189488
"44","NOTCH_DN.V1_UP",0.971028971028971,1,0.0078803141868031,-0.274683171762702,-0.739278212232562
"45","PGF_UP.V1_DN",1,1,0,-0.20767821173254,-0.559749360139978
"46","PRC1_BMI_UP.V1_DN",0.988011988011988,1,0.00502537209391229,-0.254129555161172,-0.683941986752355
"47","PTEN_DN.V1_DN",0.993006993006993,1,0.00382852089890286,-0.238378250590864,-0.64222223798447
"48","RELA_DN.V1_UP",1,1,0.0014426950408889,-0.172499883878029,-0.461570550966771
"49","SRC_UP.V1_UP",0.994005994005994,1,0.00354273909070668,-0.246038376414015,-0.660519786163509
"50","TBK1.DN.48HRS_UP",0.782569365992873,1,0.143902565267782,0.260056411429303,1.02056600242821
"51","YAP1_DN",0.365546218487395,1,0.0625237414724762,-0.434431575512319,-1.07905000799426
"52","YAP1_UP",0.826086956521739,1,0.231126709673834,0.228488191730651,0.882714254169149
"53","AKT_UP.V1_DN",NA,NA,NA,0.212236536045068,NA
"54","AKT_UP.V1_UP",NA,NA,NA,0.376193569677303,NA
"55","AKT_UP_MTOR_DN.V1_DN",NA,NA,NA,0.301359914475812,NA
"56","AKT_UP_MTOR_DN.V1_UP",NA,NA,NA,0.331981542141434,NA
"57","ALK_DN.V1_DN",NA,NA,NA,0.200917654384535,NA
"58","ALK_DN.V1_UP",NA,NA,NA,0.268101709770284,NA
"59","ATF2_S_UP.V1_DN",NA,NA,NA,0.306987050846653,NA
"60","ATF2_S_UP.V1_UP",NA,NA,NA,0.341566250035477,NA
"61","ATF2_UP.V1_DN",NA,NA,NA,0.290061576680114,NA
"62","ATF2_UP.V1_UP",NA,NA,NA,0.361524690631929,NA
"63","ATM_DN.V1_UP",NA,NA,NA,0.284833264150426,NA
"64","BMI1_DN.V1_DN",NA,NA,NA,0.226765765216452,NA
"65","BMI1_DN.V1_UP",NA,NA,NA,0.510628922119193,NA
"66","BMI1_DN_MEL18_DN.V1_DN",NA,NA,NA,0.153744619838556,NA
"67","BMI1_DN_MEL18_DN.V1_UP",NA,NA,NA,0.514728303541616,NA
"68","CAHOY_ASTROGLIAL",NA,NA,NA,0.386899916644379,NA
"69","CAHOY_OLIGODENDROCUTIC",NA,NA,NA,0.178691650948708,NA
"70","CAMP_UP.V1_DN",NA,NA,NA,0.218770938032677,NA
"71","CAMP_UP.V1_UP",NA,NA,NA,0.359140890149411,NA
"72","CRX_DN.V1_DN",NA,NA,NA,0.250924496350108,NA
"73","CRX_DN.V1_UP",NA,NA,NA,0.238668683213181,NA
"74","CRX_NRL_DN.V1_DN",NA,NA,NA,0.244574371054752,NA
"75","CRX_NRL_DN.V1_UP",NA,NA,NA,0.244566742949907,NA
"76","CSR_EARLY_UP.V1_UP",NA,NA,NA,0.507621085899266,NA
"77","CSR_LATE_UP.V1_DN",NA,NA,NA,0.289416794097365,NA
"78","CSR_LATE_UP.V1_UP",NA,NA,NA,0.547985275390793,NA
"79","CYCLIN_D1_KE_.V1_UP",NA,NA,NA,0.289466911964378,NA
